ut	altitude	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
530.528348839525	71742.1227089108	2096	-179.997399650321	0	0	0	0	4	4	0.0119523669234744	0	0
103.479999999997	86636.9054902649	2041	-179.799618149068	0	0	0	0	4	4	0.273571970672761	0	0
103.999999999996	86633.8181078185	2041	-179.708396043375	0	0	0	0	4	4	0.0119667387019047	0	0
105.039999999996	86627.5212251318	2041	-179.52624006285	0	0	0	0	4	4	0.0120479284899883	0	0
106.079999999996	86621.0341139496	2042	-179.344123541291	0	0	0	0	4	4	0.0119922954515183	0	0
107.119999999996	86614.3718256558	2042	-179.161983450712	0	0	0	0	4	4	0.0120819300942878	0	0
108.159999999996	86607.5194532699	2042	-178.979844194786	0	0	0	0	4	4	0.0120456734336629	0	0
109.199999999995	86600.4920527086	2042	-178.797708063414	0	0	0	0	4	4	0.0121352770510738	0	0
110.239999999995	86593.2822109675	2042	-178.615572265535	0	0	0	0	4	4	0.011866167475439	0	0
111.279999999995	86585.890007322	2042	-178.433408426615	0	0	0	0	4	4	0.0119253086775172	0	0
112.319999999995	86578.3080320905	2042	-178.251249911644	0	0	0	0	4	4	0.0121733196414822	0	0
113.359999999995	86570.558349362	2042	-178.069849462196	0	0	0	0	4	4	1.4016508466537	0	0
114.399999999994	86562.6718358144	2044	-177.889235516855	0	0	0	0	4	4	1.40165850947371	0	0
115.439999999994	86554.666493505	2045	-177.708864032459	0	0	0	0	4	4	1.40154143683276	0	0
116.479999999994	86546.5567092024	2047	-177.528775916228	0	0	0	0	4	4	1.40162749717142	0	0
117.519999999994	86538.3565392523	2048	-177.348785034226	0	0	0	0	4	4	1.13431311101289	0	0
118.559999999994	86530.0335478086	2048	-177.167265929145	0	0	0	0	4	4	0.0119116209187591	0	0
119.599999999993	86521.5802173498	2048	-176.985766350913	0	0	0	0	4	4	0.0120328239804341	0	0
120.639999999993	86512.9929152678	2049	-176.804927134511	0	0	0	0	4	4	0.867166163655033	0	0
121.679999999993	86504.329466526	2050	-176.625761666727	0	0	0	0	4	4	1.40168745110328	0	0
122.719999999993	86495.6173438717	2051	-176.446206564029	0	0	0	0	4	4	0.653481566559308	0	0
123.759999999993	86486.8083598866	2051	-176.264981917182	0	0	0	0	4	4	0.0121023378306002	0	0
124.799999999992	86477.8815992578	2051	-176.084537884693	0	0	0	0	4	4	0.813614289850848	0	0
125.839999999992	86468.8731582656	2052	-175.903764047377	0	0	0	0	4	4	0.225947049583366	0	0
126.879999999992	86459.7591030956	2052	-175.722505008474	0	0	0	0	4	4	0.0950766308183762	0	0
127.919999999992	86450.5267388432	2052	-175.541167705799	0	0	0	0	4	4	0.148269657624664	0	0
128.919999999992	86441.5391060987	2052	-175.366957808496	0	0	0	0	4	4	0.0114878526406044	0	0
129.919999999993	86432.4466577339	2052	-175.192736086142	0	0	0	0	4	4	0.0116532965640303	0	0
130.919999999993	86423.2444967112	2052	-175.018529157905	0	0	0	0	4	4	0.0116190924628065	0	0
131.919999999994	86413.9377118485	2052	-174.844310157047	0	0	0	0	4	4	0.0118397866455485	0	0
132.919999999994	86404.5164154009	2052	-174.670106109509	0	0	0	0	4	4	0.0117110008476427	0	0
133.919999999995	86395.0056680177	2052	-174.49587291906	0	0	0	0	4	4	0.0117601074385368	0	0
134.919999999995	86385.3718694526	2052	-174.321649622167	0	0	0	0	4	4	0.0116904896705991	0	0
135.991138916011	86374.7553570458	2052	-174.131549945467	0	0	0	0	4	4	0.0119921381282384	0	0
137.211100463863	86362.7455923263	2052	-173.91899789682	0	0	0	0	4	4	0.0128276272690327	0	0
138.511072998042	86349.7778748674	2052	-173.692501753093	0	0	0	0	4	4	0.0159232019056043	0	0
139.269068603511	86342.1355702262	2052	-173.560433173641	0	0	0	0	4	4	0.0175939521038814	0	0
141.001051025386	86324.4495276692	2052	-173.258657743914	0	0	0	0	4	4	0.0209297226898691	0	0
142.489030151363	86309.0069771091	2052	-172.999390787613	0	0	0	0	4	4	0.0120058327722535	0	0
143.571012573238	86297.6341040065	2052	-172.810861607383	0	0	0	0	4	4	0.0128264408577553	0	0
144.725010375972	86285.3710512328	2052	-172.609780883134	0	0	0	0	4	4	0.0138144712946414	0	0
145.950996093745	86272.1924102749	2052	-172.396152724805	0	0	0	0	4	4	0.014365870522954	0	0
147.248997192378	86258.0708032029	2052	-172.169971615429	0	0	0	0	4	4	0.0152370998712012	0	0
148.61898620605	86242.9781065749	2052	-171.931241551727	0	0	0	0	4	4	0.0161960422189294	0	0
150.060963134761	86226.8839506294	2052	-171.679961685515	0	0	0	0	4	4	0.0170066401427816	0	0
151.574955444331	86209.756547613	2053	-171.416126318569	0	0	0	0	4	4	0.0177863176887707	0	0
153.160935668941	86191.5630796457	2053	-171.139739259363	0	0	0	0	4	4	0.0186413728943923	0	0
154.818931274409	86172.268707971	2053	-170.850794677082	0	0	0	0	4	4	0.0194772547981309	0	0
156.548914794917	86151.8375459396	2053	-170.549296239746	0	0	0	0	4	4	0.0202866882221986	0	0
158.350913696284	86130.2321971997	2053	-170.235237970938	0	0	0	0	4	4	0.0211719936628281	0	0
161.188892822261	86095.5373829362	2053	-169.740606461337	0	0	0	0	4	4	0.0224102435208664	0	0
163.170875244136	86070.8235111338	2053	-169.395152453576	0	0	0	0	4	4	0.0232590893526867	0	0
165.170875244136	86045.4832785475	2053	-169.046545971531	0	0	0	0	4	4	0.0232192083274734	0	0
167.170875244136	86019.740382751	2053	-168.697927176852	0	0	0	0	4	4	0.0231926508027216	0	0
169.170875244136	85993.5959634701	2053	-168.349295873663	0	0	0	0	4	4	0.0233088794167274	0	0
172.170875244136	85953.6286860176	2053	-167.826325036427	0	0	0	0	4	4	0.0232970630011168	0	0
174.170875244136	85926.4851774592	2054	-167.477661604747	0	0	0	0	4	4	0.0233069367475101	0	0
176.170875244136	85898.9437353692	2054	-167.128984978954	0	0	0	0	4	4	0.0232380400692931	0	0
178.170875244136	85871.0061880962	2054	-166.780294967118	0	0	0	0	4	4	0.0233031147393389	0	0
180.170875244136	85842.6729613616	2054	-166.431591372798	0	0	0	0	4	4	0.023291765224798	0	0
182.170875244136	85813.9457293267	2054	-166.082874003795	0	0	0	0	4	4	0.0232785432840961	0	0
184.170875244136	85784.8256312485	2054	-165.734142666655	0	0	0	0	4	4	0.0233414010970706	0	0
186.170875244136	85755.3137405042	2054	-165.385397168226	0	0	0	0	4	4	0.0231719075601222	0	0
188.170875244136	85725.4113708845	2054	-165.03663731695	0	0	0	0	4	4	0.0232435516511591	0	0
190.170875244136	85695.119903651	2054	-164.687862920625	0	0	0	0	4	4	0.0233199698909359	0	0
192.170875244136	85664.4404163631	2054	-164.339073787749	0	0	0	0	4	4	0.0232493689186578	0	0
194.170875244136	85633.3745008021	2055	-163.99026972873	0	0	0	0	4	4	0.0232110200469429	0	0
196.170875244136	85601.9229549088	2055	-163.641450550886	0	0	0	0	4	4	0.0233218415255435	0	0
198.170875244136	85570.0876064549	2055	-163.292616066252	0	0	0	0	4	4	0.0232444955172688	0	0
200.170875244136	85537.8693992672	2055	-162.943766085489	0	0	0	0	4	4	0.0233150316305601	0	0
202.170875244136	85505.2701468191	2055	-162.594900419044	0	0	0	0	4	4	0.0232891371169003	0	0
204.170875244136	85472.2909096178	2055	-162.246018879242	0	0	0	0	4	4	0.0232728260454122	0	0
206.170875244136	85438.9330167976	2055	-161.897121277277	0	0	0	0	4	4	0.0232639533658888	0	0
208.170875244136	85405.1980825955	2055	-161.548207426905	0	0	0	0	4	4	0.0232533884004686	0	0
210.170875244136	85371.0874273004	2056	-161.199277141442	0	0	0	0	4	4	0.0232014799936345	0	0
212.170875244136	85336.6025720623	2056	-160.850330234318	0	0	0	0	4	4	0.0232159933562667	0	0
214.170875244136	85301.7448344043	2056	-160.501366520412	0	0	0	0	4	4	0.0232462888979262	0	0
216.170875244136	85266.5157878671	2056	-160.152385813938	0	0	0	0	4	4	0.0232481542400155	0	0
218.170875244136	85230.9169110007	2056	-159.803387931129	0	0	0	0	4	4	0.0232318096545924	0	0
220.170875244136	85194.9497123217	2056	-159.454372688099	0	0	0	0	4	4	0.0232119858691797	0	0
222.170875244136	85158.6156689	2056	-159.105339900854	0	0	0	0	4	4	0.0233202047128519	0	0
224.170875244136	85121.916332029	2056	-158.756289387924	0	0	0	0	4	4	0.02332109979021	0	0
226.170875244136	85084.8533861408	2057	-158.407220965847	0	0	0	0	4	4	0.0232632271581236	0	0
