ut	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
19757.1765453535	3153	-179.767365550476	0	0	0	0	4	4	0.710912550477731	0	0
19758.1765453535	3153	-179.539168331819	0	0	0	0	4	4	0.00645242330488711	0	0
19759.1765453536	3153	-179.310939167522	0	0	0	0	4	4	0.00672405019299564	0	0
19760.1765453536	3154	-179.0826851286	0	0	0	0	4	4	0.00650744682547152	0	0
19761.1765453536	3154	-178.854407078144	0	0	0	0	4	4	0.00653116924645608	0	0
19762.1765453536	3154	-178.626097703703	0	0	0	0	4	4	0.00676825725252224	0	0
19763.1765453536	3154	-178.397788510401	0	0	0	0	4	4	0.00674558046365797	0	0
19764.1765453537	3155	-179.978084972383	0	0	0	0	4	4	0.00655552219202778	0	0
19765.1765453537	3155	179.999964570965	0	0	0	0	4	4	0.00663703402333671	0	0
19766.1765453537	3155	-179.993475639766	0	0	0	0	4	4	0.00591928785840343	0	0
19767.1765453537	3156	-179.993880227327	0	0	0	0	4	4	0.00635567471319399	0	0
19768.1765453538	3156	-179.992365755603	0	0	0	0	4	4	0.00631747656005799	0	0
19769.1765453538	3156	-179.998142113018	0	0	0	0	4	4	0.00675098376055221	0	0
19770.1765453538	3157	-179.994016802407	0	0	0	0	4	4	0.00651905978068457	0	0
19771.1765453538	3157	-179.991966071141	0	0	0	0	4	4	0.00647628597682104	0	0
19772.1765453538	3157	-179.992871447267	0	3.75536382574819E-08	3.70425338068998E-08	3.83750591403487E-08	249.612706957469	249.603985715018	0.00591690175864638	0.00195631559309148	3.25576475107123E-05
19773.1765453539	3158	-179.994225742687	0	7.92945348941994E-08	7.73562624099579E-08	8.01430230183095E-08	249.176040592028	249.167308201791	0.00351487047861811	0.00404366451320812	0.000139481274900704
19774.1765453539	3158	-179.993453873695	0	1.22491760610307E-07	1.19074119665944E-07	1.23369896770531E-07	248.738761685043	248.730001809918	0.00162669694593075	0.00615937722562576	0.000324765893640217
19775.1765453539	3158	-179.992083981005	0	1.67155786325287E-07	1.62203727001759E-07	1.6806370786307E-07	248.300822219915	248.2920806357	0.00123528866161471	0.00830087272925174	0.000592350770084788
19776.1765453539	3158	-179.999010164423	0	2.13294704281219E-07	2.06751653266982E-07	2.14231389996378E-07	247.862268410986	247.853498301586	0.00362760980601859	0.0104655330851293	0.000946188486842541
19777.1765453539	3159	-179.99426753294	0	2.60905637134865E-07	2.52716142824335E-07	2.61871235588391E-07	247.42320803232	247.414426764365	0.00560068019532621	0.0126508566912077	0.00139018808230912
19778.176545354	3159	-179.995380715539	0	3.09995566287197E-07	3.00106170325392E-07	3.10992661390221E-07	246.983595729195	246.974815874992	0.00750405311643406	0.0148545363035677	0.00192838366886076
19779.176545354	3159	-179.994584453257	0	3.60578842208441E-07	3.48928432447384E-07	3.6160271383828E-07	246.543428693144	246.534652397443	0.0102215011136855	0.017074705175889	0.00256474498320971
19780.176545354	3160	-179.994571475521	0	4.12647660703639E-07	3.99186004203498E-07	4.1370467661275E-07	246.102860449162	246.094026713044	0.0119634522046078	0.0193093493706808	0.00330327050048453
19781.176545354	3160	-179.996051040023	0	4.66221587774062E-07	4.50884458933252E-07	4.67304418365115E-07	245.661738270892	245.652940213344	0.0151936353639249	0.0215568270541591	0.00414799235672501
19782.1765453541	3160	-179.992750439193	0	5.21295274493541E-07	5.04029373522074E-07	5.22407808398316E-07	245.220217811169	245.211421158135	0.0166375176975281	0.0238159428483445	0.00510294976076479
19783.1765453541	3160	-179.99605282105	0	5.77875848680953E-07	5.58626394092486E-07	5.79020776506816E-07	244.778310421658	244.769486257297	0.0202156538045008	0.0260852100879309	0.00617223490935761
19784.1765453541	3161	-179.992267870626	0	6.35969328514136E-07	6.14676385635257E-07	6.37144295857801E-07	244.336001744333	244.327179556697	0.0216792750606551	0.0283640391709851	0.00735985088679564
19785.1765453541	3161	-179.993898427622	0	6.95581546179091E-07	6.72188619768224E-07	6.96788034654962E-07	243.893367907641	243.884518736987	0.0239840529674752	0.0306515219722141	0.00866988007346031
19786.1765453541	3161	-179.994841820191	0	7.56719835984414E-07	7.3116642643162E-07	7.57955510150128E-07	243.450393465029	243.441532574014	0.0267124556090032	0.0329475343011536	0.0101064795990236
19787.1765453542	3162	-179.994288868186	0	8.19379018419885E-07	7.91610719527323E-07	8.20647714468083E-07	243.007124549187	242.998266643715	0.0289853557801412	0.0352519096246932	0.0116736038161678
19788.1765453542	3162	-179.994176718943	0	8.83576298049798E-07	8.53532170095086E-07	8.84875762348134E-07	242.56357460317	242.554705500009	0.030803472725802	0.0375650918616143	0.0133755807575631
19789.1765453542	3162	-179.995154372337	0	9.49308972416604E-07	9.16930433493243E-07	9.50639333823196E-07	242.11979188798	242.11092366255	0.0337649644874297	0.0398874250724225	0.0152163026923251
19790.1765453542	3162	-179.994755006304	0	1.01659074170934E-06	9.81818859782016E-07	1.01795229337375E-06	241.675759852775	241.666863563611	0.0354453203972204	0.0422202577819827	0.0172001693160033
19791.1765453543	3163	-179.993075080319	0	1.08541887117098E-06	1.0481945534242E-06	1.08681166204112E-06	241.231537719161	241.222644406352	0.0383597334558279	0.0445644982847792	0.019331229000793
19792.1765453543	3163	-179.993723376613	0	1.15580082809852E-06	1.11605865200106E-06	1.15721863233464E-06	240.787126328679	240.77826650493	0.0410832867993942	0.046921366484873	0.0216134714749002
19793.1765453543	3163	-179.993727237282	0	1.22773116771807E-06	1.18542809139234E-06	1.22919078082176E-06	240.342614320312	240.333713327061	0.0432763273637181	0.0492932703752865	0.0240513703314767
19794.1765453543	3164	-179.994145991804	0	1.30123652980003E-06	1.25629408073364E-06	1.30271897417032E-06	239.897932659936	239.889063004908	0.0458637235205584	0.0516817407462335	0.0266487821971446
19795.1765453543	3164	-179.993911678407	0	1.37630391327695E-06	1.32867121731739E-06	1.37781834881282E-06	239.4531788167	239.444299533565	0.0482189360809162	0.0540896153246086	0.0294101980449788
