ut	altitude	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
3028.53439572883	71205.0276679719	2093	178.318343399569	0	0	0	0	4	4	NaN	0	0
3029.57439572883	71184.135518842	2093	178.134822984165	0	0	0	0	4	4	0.0121272224771283	0	0
3030.61439572883	71162.775873496	2093	177.948095269374	0	0	0	0	4	4	0.0119982494328815	0	0
3031.65439572883	71141.383753099	2093	177.761369379529	0	0	0	0	4	4	0.0119688362077964	0	0
3032.69439572883	71119.9594245441	2094	177.5746391988	0	0	0	0	4	4	0.0118954368385974	0	0
3033.73439572883	71098.5031553241	2094	177.387895562201	0	0	0	0	4	4	0.0120136010208718	0	0
3034.77439572883	71077.0092833091	2094	179.888422623701	0	0	0	0	4	4	0.0121367054061709	0	0
3035.81439572882	71055.4892883546	2094	179.996051353835	0	0	0	0	4	4	0.0120867706850712	0	0
3036.85439572882	71033.9383882419	2094	179.998602014284	0	0	0	0	4	4	0.0121422602527395	0	0
3037.89439572882	71012.356634708	2094	179.995109547588	0	0	0	0	4	4	0.0120377888238541	0	0
3038.93439572882	70990.7442709187	2094	179.997558864955	0	0	0	0	4	4	0.0120128576446552	0	0
3039.97439572882	70969.1015828497	2094	179.998719817733	0	0	0	0	4	4	0.0119723339684676	0	0
3041.5718935163	70935.4840948854	2094	179.799420187114	0	0	0	0	4	4	0.01222948463896	0	0
3042.84340840887	70909.010299879	2094	179.57104648835	0	0	0	0	4	4	0.0127217574497248	0	0
3044.14862081122	70881.789395096	2094	179.336611255228	0	0	0	0	4	4	0.0157226016736831	0	0
3044.8972261579	70866.1561772397	2095	179.202146573705	0	0	0	0	4	4	0.0170041376943905	0	0
3046.58644124579	70830.8255166083	2095	178.898718025242	0	0	0	0	4	4	0.0199470768395289	0	0
3048.53165303778	70790.0480123549	2095	178.549286117674	0	0	0	0	4	4	0.0228896442499962	0	0
3049.60025960516	70767.6052651677	2095	178.357316016061	0	0	0	0	4	4	0.0123852775783134	0	0
3050.73286763739	70743.786674244	2095	178.153841466317	0	0	0	0	4	4	0.0131368837431888	0	0
3052.5517763288	70705.4678342459	2095	177.827057224213	0	0	0	0	4	4	0.0141440282558258	0	0
3053.84438191962	70678.1867991934	2095	177.594817185505	0	0	0	0	4	4	0.014760059512395	0	0
3055.20098897528	70649.5110194719	2095	177.35106813706	0	0	0	0	4	4	0.0156099853156614	0	0
3057.3558992536	70603.8700311002	2095	176.963862489371	0	0	0	0	4	4	0.0168032172405065	0	0
3058.87250386786	70571.6826047451	2096	176.691335432816	0	0	0	0	4	4	0.0175482490354536	0	0
3060.45310994696	70538.0800483412	2096	176.407293908749	0	0	0	0	4	4	0.0182378934730883	0	0
3062.09771749091	70503.0565408944	2096	176.111736191044	0	0	0	0	4	4	0.0189344359725644	0	0
3063.80632649969	70466.6058731638	2096	175.804660476659	0	0	0	0	4	4	0.019628219224691	0	0
3066.48923360419	70409.2410334552	2096	175.322448179245	0	0	0	0	4	4	0.0207547267212011	0	0
3068.35784017157	70369.1963424246	2096	174.986570188716	0	0	0	0	4	4	0.021406214395043	0	0
3070.2904482038	70327.7037450509	2097	174.639167294606	0	0	0	0	4	4	0.0222252729281556	0	0
3072.27251302313	70285.0703089754	2097	174.282852123103	0	0	0	0	4	4	0.02262128805295	0	0
3074.20803243231	70243.3627878268	2097	173.93488286534	0	0	0	0	4	4	0.0218515788315316	0	0
3076.9913087995	70183.2606148017	2097	173.434465771694	0	0	0	0	4	4	0.0207142420189949	0	0
3077.88706685614	70163.8865348208	2097	173.273404218594	0	0	0	0	4	4	0.0203576759813872	0	0
3079.05070973944	70138.6964345991	2097	173.064168852859	0	0	0	0	4	4	0.013243628826627	0	0
3080.082491966	70116.7120334869	2097	179.986416449236	0	0	0	0	4	4	0.0120248082969888	0	0
3081.122491966	70094.0899653828	2097	179.995346940833	0	0	0	0	4	4	0.0119227099604216	0	0
3082.162491966	70071.4488397222	2097	179.999775222298	0	0	0	0	4	4	0.0121193116040916	0	0
3083.202491966	70048.7889543964	2098	179.994662687738	0	0	0	0	4	4	0.0120374631100273	0	0
3084.242491966	70026.1105618065	2098	179.994398899345	0	0	0	0	4	4	0.0120955945131487	0	0
3085.282491966	70003.4139595985	2098	179.993832809101	0	0	0	0	4	4	0.0120025867646007	0	0
3086.322491966	69980.6994297865	2098	179.994739887468	0	2.13181024793604E-10	2.1731192079101E-10	2.22959889550166E-10	207.35669666676	207.356772309665	0.0119266995613626	4.94701400348724E-06	4.94701400348724E-06
3087.362491966	69957.9672620908	2098	179.995681518202	0	1.03851457662559E-09	1.03509092878624E-09	1.06198361196E-09	207.358593157508	207.358636237707	0.0119886029765994	2.35296153780516E-05	2.35296153780516E-05
3088.402491966	69935.2177334401	2098	-179.998886359701	0	2.48380636059431E-09	2.4552430714292E-09	2.51900934465703E-09	207.360532449768	207.360579425057	0.0121188098420881	5.56245970861413E-05	5.56245970861413E-05
3089.44249196599	69912.4511641033	2098	179.995923235398	0	4.54903737646536E-09	4.47967431890937E-09	4.59597403150037E-09	207.362546971007	207.362590371162	0.0119567149427781	0.000100832235771163	0.000100832235771163
3090.48249196599	69889.6678071106	2098	179.995606241828	0	7.23223178510866E-09	7.10838422086125E-09	7.29285720753318E-09	207.364631250415	207.364680254069	0.0119387857777842	0.000158230669804755	0.000158230669804755
3091.00249196599	69878.2699270271	2098	179.995450046144	0	8.80653653262955E-09	8.64481633452466E-09	8.86911696650659E-09	207.365698623244	207.365747821235	0.0118454251618378	0.000190939049348141	0.000190939049348141
3092.04249196599	69855.461944392	2098	179.994475306598	0	1.24225050164312E-08	1.21789904256771E-08	1.24948597418443E-08	207.367848574088	207.367941248127	0.0117875226827501	0.00026339271710446	0.00026339271710446
3093.08249196599	69832.6379011279	2098	179.994066345328	0	1.66505125129627E-08	1.63155361114954E-08	1.67385094368794E-08	207.370107705967	207.370205566248	0.0117616264052124	0.000342660239552216	0.000342660239552216
3094.12249196599	69809.798073818	2098	179.998842483489	0	2.14983591161528E-08	2.1054453065419E-08	2.16000417309116E-08	207.372435378119	207.372538160757	0.0115597498490717	0.000425691105462004	0.000425691105462004
3095.16249196599	69786.942763826	2099	-179.997877427192	0	2.69660194784917E-08	2.63938353542552E-08	2.70774761824548E-08	207.374829041807	207.37493269238	0.0113251178294855	0.000509855819054914	0.000509855819054914
3096.20249196599	69764.0722592137	2099	-179.997212586468	0	3.30515110190314E-08	3.23374947874155E-08	3.31746964071156E-08	207.377290601179	207.377397473396	0.0113862077645026	0.000594546472071112	0.000594546472071112
3097.24249196599	69741.1868609689	2099	179.993989329232	0	3.97508863786276E-08	3.88797132916929E-08	3.98858090624547E-08	207.379863039564	207.379923856508	0.0111950124640017	0.000683380929482872	0.000683380929482872
3098.28249196599	69718.2868158669	2099	179.993260035584	0	4.7068054251803E-08	4.60223973438831E-08	4.72127400133722E-08	207.382408916929	207.382517396424	0.0113878783048354	0.000788025779774323	0.000788025779774324
3099.32249196599	69695.3724165863	2099	179.997041628855	0	5.49990489543096E-08	5.3765548560416E-08	5.51554616795205E-08	207.385059067213	207.385168160267	0.0112092756930008	0.000918540903329216	0.000918540903329216
3100.36249196598	69672.4439771186	2099	179.992090491268	0	6.35438480635775E-08	6.21091664556983E-08	6.37139411232504E-08	207.387770827022	207.387885100247	0.0109445520311526	0.00105965549811802	0.00105965549811802
3101.40249196598	69649.5017317054	2099	-179.999072403321	0	7.27024224892166E-08	7.10532549917017E-08	7.2888149494421E-08	207.390536772647	207.39065813541	0.0105649269829711	0.00121047281018277	0.00121047281018277
3102.44249196598	69626.5460194602	2099	179.998123541676	0	8.24747359084026E-08	8.0590188292568E-08	8.26702305878276E-08	207.393368438659	207.393493019058	0.0105288631638554	0.00137080786330343	0.00137080786330343
3103.48249196598	69603.5770946761	2099	179.996350861969	0	9.28607328265793E-08	9.07275957683179E-08	9.30679751141997E-08	207.396312873269	207.396383668774	0.0104642692513284	0.0015406836472527	0.0015406836472527
3104.52249196598	69580.5952327866	2099	179.998243568265	0	1.03860425474988E-07	1.01461668614849E-07	1.04077437888546E-07	207.399259627791	207.3993306439	0.0103269745116558	0.00171992586461619	0.00171992586461619
3105.56249196598	69557.600722577	2099	-179.999758842569	0	1.15465938009823E-07	1.12790500996696E-07	1.15696630429294E-07	207.402258774545	207.402330497789	0.0100776525965251	0.00190840615366629	0.00190840615366629
3106.60249196598	69534.5938461985	2099	-179.999680921589	0	1.27685092089052E-07	1.24716006228228E-07	1.27927470442301E-07	207.405252794082	207.405386927439	0.00985525231169516	0.00210605296274922	0.00210605296274922
3107.64249196598	69511.574872517	2100	-179.99661984188	0	1.40515784330057E-07	1.37232468059897E-07	1.40764058699612E-07	207.408422371337	207.40849444683	0.00979034405493625	0.00231266228648776	0.00231266228648776
3108.68249196598	69488.5441026659	2100	179.998152149392	0	1.53946410687538E-07	1.5034751909713E-07	1.54214180421044E-07	207.411513957448	207.4116519152	0.00950170140062079	0.00252821613535623	0.00252821613535623
3109.72249196598	69465.5017897196	2100	179.994837376399	0	1.6799239516721E-07	1.64053539655596E-07	1.68269975841946E-07	207.414782226088	207.414860645414	0.00930140914280495	0.00275250289504477	0.00275250289504477
3110.76249196598	69442.4481885497	2100	-179.997894336618	0	1.82642106987634E-07	1.78344818813415E-07	1.82925543490373E-07	207.418039277594	207.418117588888	0.00898104019518248	0.00298526014563344	0.00298526014563344
3111.80249196597	69419.3836244443	2100	179.996130612402	0	1.97893505542916E-07	1.93234704578466E-07	1.98194530437004E-07	207.421347332177	207.421423487693	0.00885245457100137	0.0032266188038629	0.0032266188038629
3112.84249196597	69396.3083301377	2100	179.99438019686	0	2.13754383288005E-07	2.0870795844761E-07	2.1406126161662E-07	207.424694841276	207.424772281852	0.00836254369034209	0.00347618258911194	0.00347618258911194
3113.88249196597	69373.2225763864	2100	179.996343355747	0	2.30216955929245E-07	2.24772216133512E-07	2.30533515506268E-07	207.42801447307	207.428166841925	0.00817235579187059	0.00373391871202675	0.00373391871202675
3114.92249196597	69350.1266304803	2100	-179.997710939709	0	2.47278989123109E-07	2.41429390066652E-07	2.4761320651838E-07	207.431521819611	207.431607201397	0.00790400257972312	0.00399973939746286	0.00399973939746286
3115.96249196597	69327.0208031356	2100	179.992032986888	0	2.64936771331909E-07	2.58664245378491E-07	2.65284659561556E-07	207.43500134158	207.435088007486	0.00752969487518252	0.00427330439506687	0.00427330439506687
3117.00249196597	69303.9052934817	2100	179.99513129449	0	2.83201915759666E-07	2.76490139908359E-07	2.83561521583614E-07	207.43852191587	207.438607829774	0.0075302203772544	0.00455458207428924	0.00455458207428924
3118.04249196597	69280.7804002153	2100	179.995231512681	0	3.02064609162522E-07	2.94895644449484E-07	3.02432021447339E-07	207.442081177169	207.442166741599	0.00702673862810567	0.00484332465332405	0.00484332465332405
3119.08249196597	69257.6463782915	2100	179.99495990349	0	3.21521017145626E-07	3.1388649338473E-07	3.21901976369388E-07	207.445603755407	207.445768874611	0.00667094156638895	0.0051394551524713	0.0051394551524713
3120.12249196597	69234.5034906799	2101	179.992258443343	0	3.41572819857912E-07	3.33456989003787E-07	3.4196549566502E-07	207.449244427442	207.449403638939	0.00660359450391251	0.00544275913167682	0.00544275913167682
3121.16249196597	69211.3519761574	2101	179.995293587584	0	3.62227798434231E-07	3.53614767251004E-07	3.62630346173551E-07	207.45298761546	207.453077908804	0.00611783838600601	0.00575313261071961	0.00575313261071961
3122.20249196596	69188.1921046627	2101	179.996981543434	0	3.83466737697115E-07	3.74342691148539E-07	3.83878904539938E-07	207.456618787565	207.456784112243	0.0058865843621841	0.00607022293219504	0.00607022293219504
3123.24249196596	69165.0241392059	2101	179.992464571157	0	4.05304856089342E-07	3.95657943166451E-07	4.05728720856047E-07	207.460354875794	207.460523326464	0.00551555208589162	0.00639419041230089	0.00639419041230089
3124.28249196596	69141.8482838609	2101	-179.997314727285	0	4.27724488067673E-07	4.17541469023703E-07	4.28160210793841E-07	207.464199304144	207.464292469368	0.00517344813691186	0.00672444748690565	0.00672444748690565
3125.32249196596	69118.664841013	2101	-179.997165964771	0	4.50739560484753E-07	4.40006646415843E-07	4.51187009693078E-07	207.468008863441	207.468094494843	0.00484270587975308	0.00706118661984911	0.00706118661984911
3126.36249196596	69095.4740335796	2101	-179.996771714864	0	4.74338399900499E-07	4.6304015216845E-07	4.74795401400265E-07	207.471750319877	207.471924839255	0.00447986973596616	0.00740401063833825	0.00740401063833825
3127.40249196596	69072.2761127342	2101	-179.999745768915	0	4.98520364592613E-07	4.8664772685505E-07	4.98991207408822E-07	207.47568727479	207.475783763672	0.00409012470032076	0.00775281104774041	0.00775281104774041
3128.44249196596	69049.0713151008	2101	179.995545862641	0	5.23297704245698E-07	5.10833211751237E-07	5.23778307529729E-07	207.479572533843	207.479665989459	0.00380984144899656	0.00810762724941052	0.00810762724941052
3129.48249196596	69025.8598727906	2101	179.992047543938	0	5.48650663774742E-07	5.35585193088376E-07	5.49144919103625E-07	207.483479541783	207.483576639061	0.00344488786261004	0.00846805271737629	0.00846805271737629
